1,220443
2,95626
3,56237
4,37722
5,27162
6,20864
7,16198
8,13230
9,10974
10,8862
11,7530
12,6318
13,5490
14,4793
15,4167
16,3656
17,3211
18,2803
19,2595
20,2232
21,1978
22,1697
23,1592
24,1480
25,1352
26,1209
27,1107
28,967
29,943
30,817
31,787
32,733
33,672
34,608
35,576
36,523
37,447
38,405
39,417
40,405
41,378
42,339
43,292
44,334
45,308
46,238
47,259
48,221
49,190
50,209
51,204
52,188
53,175
54,155
55,152
56,152
57,130
58,127
59,109
60,106
61,87
62,104
63,94
64,80
65,94
66,85
67,68
68,85
69,72
70,71
71,62
72,54
73,60
74,66
75,50
76,56
77,53
78,69
79,53
80,44
81,42
82,50
83,48
84,37
85,34
86,26
87,31
88,37
89,28
90,33
91,40
92,27
93,31
94,28
95,24
96,21
97,18
98,31
99,16
100,30
101,20
102,26
103,19
104,15
105,25
106,18
107,20
108,10
109,23
110,13
111,13
112,17
113,5
114,11
115,10
116,24
117,9
118,14
119,10
120,10
121,10
122,15
123,8
124,13
125,9
126,15
127,19
128,7
129,7
130,5
131,9
132,6
133,7
134,7
135,5
136,2
137,7
138,7
139,7
140,7
141,4
142,5
143,6
144,9
145,8
146,5
147,2
148,5
149,11
150,6
151,1
152,6
153,4
154,6
155,6
156,2
157,2
158,4
159,1
160,4
161,4
162,4
163,6
164,3
165,4
166,3
167,4
168,5
169,3
170,7
171,4
172,4
173,6
174,4
175,1
176,6
177,4
178,2
179,4
180,2
181,5
182,1
183,5
184,2
185,4
186,2
188,2
189,5
190,3
192,5
193,2
194,1
195,5
196,2
197,2
198,2
199,1
200,3
201,5
202,3
203,2
204,2
206,2
207,2
208,2
209,2
210,3
211,2
212,1
214,2
217,2
218,2
219,1
220,1
222,2
223,1
224,1
227,3
228,1
229,2
230,1
231,2
232,2
233,1
235,2
236,1
237,1
238,3
241,1
244,2
245,1
246,1
247,2
248,1
249,1
250,1
253,1
254,2
256,2
259,2
260,1
266,2
268,2
271,3
273,2
276,1
278,1
280,1
288,3
290,1
293,1
296,2
297,1
299,1
301,1
302,1
303,1
304,1
310,1
311,1
312,2
315,2
326,1
331,2
336,1
343,1
347,1
352,1
353,1
363,1
376,1
381,1
386,1
398,1
401,1
403,2
410,1
416,1
418,1
427,1
428,1
433,1
435,1
465,1
467,1
484,1
487,1
522,1
529,1
542,1
594,1
610,1
621,1
683,1
805,1
824,1
829,1
846,1
853,1
874,1
1059,1
1153,1
2842,1
3486,1
4225,1
