1,1699695
2,250291
3,75890
4,33114
5,17934
6,10863
7,7211
8,4873
9,3518
10,2628
11,1944
12,1586
13,1234
14,995
15,817
16,647
17,545
18,463
19,346
20,318
21,281
22,252
23,175
24,219
25,151
26,149
27,112
28,103
29,72
30,68
31,67
32,59
33,55
34,41
35,30
36,28
37,31
38,22
39,25
40,19
41,19
42,14
43,17
44,12
45,11
46,11
47,12
48,13
49,11
50,7
51,6
52,5
53,7
54,5
55,2
56,4
57,3
58,1
59,6
60,5
61,5
62,2
63,2
64,2
65,2
67,2
68,1
69,1
71,3
72,1
73,1
74,2
75,1
76,3
77,1
78,1
79,1
80,2
82,1
88,1
89,1
92,1
93,1
95,1
96,2
117,1
173,1
215,1
