1,1127199
2,456471
3,231478
4,147759
5,98680
6,73174
7,51960
8,41451
9,31121
10,26166
11,20475
12,17443
13,13827
14,11993
15,9829
16,8780
17,7115
18,6303
19,5118
20,4321
21,3384
22,2984
23,2272
24,2107
25,1675
26,1506
27,1170
28,1132
29,934
30,798
31,643
32,675
33,489
34,515
35,354
36,387
37,274
38,283
39,215
40,218
41,157
42,174
43,133
44,128
45,82
46,119
47,95
48,87
49,58
50,76
51,45
52,33
53,31
54,47
55,33
56,48
57,36
58,42
59,29
60,26
61,22
62,24
63,12
64,16
65,17
66,15
67,10
68,15
69,7
70,15
71,7
72,5
73,9
74,14
75,9
76,6
77,7
78,6
79,5
80,3
81,3
82,8
83,3
84,6
85,3
86,2
87,3
88,3
89,2
90,2
91,2
92,2
94,1
95,1
96,3
99,2
100,1
101,2
103,1
104,2
105,1
106,1
108,1
109,1
111,2
113,1
117,1
122,2
123,1
126,1
131,1
132,1
133,2
137,1
142,1
144,1
159,1
204,1
218,1
230,1
235,1
271,1
294,1
297,1
302,1
305,1
825,1
1206,1
